NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA
Alta Floresta D'Oeste,22.853
Ariquemes,108.573
Cabixi,5.690
Cacoal,97.637
Cerejeiras,16.975
Colorado do Oeste,16.588
Corumbiara,8.001
Costa Marques,13.522
Espigão D'Oeste,32.717
Guajará-Mirim,43.553
Jaru,55.583
Ji-Paraná,139.359
Machadinho D'Oeste,34.063
Nova Brasilândia D'Oeste,16.504
Ouro Preto do Oeste,38.681
Pimenta Bueno,39.053
Porto Velho,514.873
Presidente Médici,20.518
Rio Crespo,3.753
Rolim de Moura,62.559
Santa Luzia D'Oeste,7.877
Vilhena,108.528
São Miguel do Guaporé,22.267
Nova Mamoré,28.496
Alvorada D'Oeste,13.837
Alto Alegre dos Parecis,12.263
Alto Paraíso,17.463
Buritis,30.729
Novo Horizonte do Oeste,8.056
Cacaulândia,4.345
Campo Novo de Rondônia,9.225
Candeias do Jamari,24.163
Castanheiras,3.456
Chupinguaia,10.129
Cujubim,15.883
Governador Jorge Teixeira,8.420
Itapuã do Oeste,9.209
Ministro Andreazza,6.657
Mirante da Serra,9.740
Monte Negro,12.241
Nova União,6.577
Parecis,4.390
Pimenteiras do Oeste,2.311
Primavera de Rondônia,3.279
São Felipe D'Oeste,5.605
São Francisco do Guaporé,17.511
Seringueiras,12.954
Teixeirópolis,4.536
Theobroma,8.540
Urupá,11.377
Vale do Anari,8.265
Vale do Paraíso,6.843
Acrelândia,14.657
Assis Brasil,8.573
Brasiléia,27.841
Bujari,13.766
Capixaba,10.922
Cruzeiro do Sul,98.382
Epitaciolândia,19.739
Feijó,37.644
Jordão,9.787
Mâncio Lima,20.329
Manoel Urbano,12.776
Marechal Thaumaturgo,17.951
Plácido de Castro,17.127
Porto Walter,11.275
Rio Branco,387.852
Rodrigues Alves,15.537
Santa Rosa do Purus,7.143
Senador Guiomard,22.352
Sena Madureira,43.916
Tarauacá,46.517
Xapuri,19.090
Porto Acre,17.455
Alvarães,16.670
Amaturá,11.411
Anamã,10.318
Anori,17.932
Apuí,21.735
Atalaia do Norte,15.892
Autazes,45.328
Barcelos,18.626
Barreirinha,33.436
Benjamin Constant,40.509
Beruri,22.136
Boa Vista do Ramos,25.769
Boca do Acre,38.246
Borba,34.879
Caapiranga,14.310
Canutama,17.885
Carauari,30.892
Careiro,32.442
Careiro da Várzea,19.809
Coari,73.820
Codajás,24.451
Eirunepé,35.534
Envira,17.920
Fonte Boa,27.875
Guajará,14.332
Humaitá,62.312
Ipixuna,25.458
Iranduba,67.114
Itacoatiara,112.520
Itamarati,11.730
Itapiranga,10.805
Japurá,9.397
Juruá,11.152
Jutaí,27.656
Lábrea,48.927
Manacapuru,110.691
Manaquiri,17.009
Manaus,2.279.686
Manicoré,57.758
Maraã,15.843
Maués,65.714
Nhamundá,21.106
Nova Olinda do Norte,28.267
Novo Airão,16.467
Novo Aripuanã,24.987
Parintins,101.956
Pauini,20.232
Presidente Figueiredo,33.004
Rio Preto da Eva,25.723
Santa Isabel do Rio Negro,14.176
Santo Antônio do Içá,30.448
São Gabriel da Cachoeira,56.406
São Paulo de Olivença,35.196
São Sebastião do Uatumã,12.247
Silves,12.404
Tabatinga,72.283
Tapauá,20.501
Tefé,79.278
Tonantins,20.224
Uarini,15.278
Urucará,19.505
Urucurituba,25.592
Amajari,15.583
Alto Alegre,23.049
Boa Vista,470.169
Bonfim,15.222
Cantá,20.552
Caracaraí,22.443
Caroebe,11.708
Iracema,10.778
Mucajaí,19.619
Normandia,15.744
Pacaraima,22.104
Rorainópolis,36.747
São João da Baliza,9.727
São Luiz,7.777
Uiramutã,15.571
Abaetetuba,170.999
Abel Figueiredo,6.302
Acará,62.701
Afuá,40.246
Água Azul do Norte,17.960
Alenquer,74.836
Almeirim,36.334
Altamira,136.982
Anajás,30.003
Ananindeua,507.838
Anapu,34.947
Augusto Corrêa,47.596
Aurora do Pará,24.321
Aveiro,19.223
Bagre,34.633
Baião,55.949
Bannach,4.252
Barcarena,137.331
Belém,1.398.531
Belterra,18.954
Benevides,68.191
Bom Jesus do Tocantins,18.958
Bonito,12.998
Bragança,131.679
Brasil Novo,26.606
Brejo Grande do Araguaia,6.985
Breu Branco,47.351
Breves,115.051
Bujaru,25.112
Cachoeira do Piriá,19.578
Cachoeira do Arari,25.243
Cametá,143.837
Canaã dos Carajás,86.629
Capanema,74.808
Capitão Poço,59.960
Castanhal,207.603
Chaves,21.487
Colares,13.526
Conceição do Araguaia,47.099
Concórdia do Pará,28.287
Cumaru do Norte,14.937
Curionópolis,20.859
Curralinho,36.451
Curuá,14.834
Curuçá,44.413
Dom Eliseu,62.322
Eldorado do Carajás,29.425
Faro,9.125
Floresta do Araguaia,18.565
Garrafão do Norte,25.552
Goianésia do Pará,27.059
Gurupá,33.922
Igarapé-Açu,37.855
Igarapé-Miri,68.955
Inhangapi,10.754
Ipixuna do Pará,30.158
Irituia,32.698
Itaituba,133.684
Itupiranga,52.187
Jacareacanga,26.006
Jacundá,38.391
Juruti,53.952
Limoeiro do Ajuru,31.778
Mãe do Rio,37.048
Magalhães Barata,8.428
Marabá,288.513
Maracanã,27.207
Marapanim,28.105
Marituba,118.998
Medicilândia,28.633
Melgaço,29.846
Mocajuba,28.821
Moju,90.795
Mojuí dos Campos,25.312
Monte Alegre,63.641
Muaná,48.955
Nova Esperança do Piriá,21.259
Nova Ipixuna,14.417
Nova Timboteua,13.204
Novo Progresso,36.518
Novo Repartimento,63.754
Óbidos,55.271
Oeiras do Pará,36.377
Oriximiná,72.460
Ourém,18.675
Ourilândia do Norte,34.905
Pacajá,43.594
Palestina do Pará,7.086
Paragominas,112.843
Parauapebas,298.854
Pau D'Arco,7.296
Peixe-Boi,8.651
Piçarra,13.341
Placas,18.772
Ponta de Pedras,25.767
Portel,66.898
Porto de Moz,43.673
Prainha,38.318
Primavera,11.332
Quatipuru,11.870
Redenção,91.947
Rio Maria,19.129
Rondon do Pará,56.593
Rurópolis,37.360
Salinópolis,48.168
Salvaterra,25.441
Santa Bárbara do Pará,22.288
Santa Cruz do Arari,7.654
Santa Izabel do Pará,78.317
Santa Luzia do Pará,21.217
Santa Maria das Barreiras,17.079
Santa Maria do Pará,25.696
Santana do Araguaia,31.683
Santarém,357.311
